CVE,DESCRIP
0,Cero horas
1,Una hora
2,Dos horas
3,Tres horas
4,Cuatro horas
5,Cinco horas
6,Seis horas
7,Siete horas
8,Ocho horas
9,Nueve horas
10,Diez horas
11,Once horas
12,Doce horas
13,Trece horas
14,Catorce horas
15,Quince horas
16,Dieciséis horas
17,Diecisiete horas
18,Dieciocho horas
19,Diecinueve horas
20,Veinte horas
21,Veintiuna horas
22,Veintidós horas
23,Veintitrés horas
99,Hora no especificada
